WeekOfMonth,Make,AccidentArea,DayOfWeekClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,Deductible,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
5,6,1,6,1,0,2,21.0,0,5,1,5,0,1,300,3,2,3,1,3,0,0,0,3,0,2,2
3,6,1,2,4,1,2,34.0,0,4,1,5,0,2,400,3,2,3,4,4,1,0,0,3,3,0,1
5,6,1,5,2,1,1,47.0,0,4,1,5,0,3,400,3,2,0,5,6,0,0,0,3,3,0,1
2,17,0,1,1,1,1,65.0,1,2,1,0,0,4,400,3,2,0,6,7,1,0,0,2,3,0,2
5,6,1,6,2,0,2,27.0,1,4,1,5,0,5,400,3,2,3,3,4,0,0,0,3,3,0,1
4,6,1,7,1,1,2,20.0,1,4,1,5,0,6,400,3,2,3,3,2,0,0,0,1,3,0,1
1,6,1,2,3,1,1,36.0,1,4,1,5,0,7,400,3,2,0,5,5,0,0,0,0,3,0,1
1,6,1,6,4,1,2,16.5,0,4,1,5,0,8,400,3,2,0,7,0,0,0,0,3,3,0,1
4,6,1,7,5,1,2,30.0,0,4,1,5,0,9,400,3,2,3,4,4,0,1,0,1,3,0,1
3,5,1,7,3,1,1,42.0,0,6,2,5,0,10,400,3,2,1,6,5,0,0,0,1,3,0,0
2,9,1,7,3,1,2,71.0,0,0,0,5,0,11,400,3,2,3,6,8,0,0,0,3,3,0,0
5,6,1,2,5,1,1,52.0,0,2,1,0,0,12,400,3,2,1,6,6,0,0,0,3,3,0,2
3,5,1,1,3,1,1,28.0,0,2,1,5,0,13,400,3,2,0,5,4,0,0,0,3,3,0,2
5,6,0,7,1,1,2,16.5,1,1,0,5,0,14,400,3,2,3,7,0,0,0,0,3,3,0,1
5,5,1,5,1,1,1,61.0,0,2,1,5,0,15,400,3,2,3,6,7,0,0,0,3,3,0,2
4,5,1,2,5,1,2,38.0,0,2,1,5,0,16,400,3,2,3,4,5,0,0,0,3,3,0,2
4,5,1,7,1,1,1,41.0,0,0,0,5,0,17,400,3,2,3,5,5,0,0,0,3,3,0,0
5,2,1,7,1,0,1,28.0,1,1,0,0,0,18,400,3,2,3,5,4,0,0,0,0,3,0,1
4,13,1,2,5,1,2,32.0,0,2,1,0,0,19,400,3,2,0,5,4,0,0,0,3,3,0,2
4,6,1,6,1,1,1,30.0,1,2,1,5,0,20,400,3,2,1,4,4,0,0,0,2,3,0,2
2,9,1,6,1,1,1,40.0,0,2,1,0,0,21,400,3,2,0,6,5,0,0,0,2,3,0,2
2,2,1,2,2,1,1,47.0,0,1,0,0,0,22,400,3,2,0,6,6,0,0,0,3,2,1,1
3,9,1,5,5,1,1,63.0,0,2,1,0,0,23,400,3,2,0,6,7,0,0,0,0,3,0,2
3,13,1,6,3,1,2,31.0,1,2,1,1,0,24,400,3,2,3,4,4,0,0,0,1,3,0,2
3,9,1,1,3,1,1,45.0,0,0,0,5,0,25,400,3,2,2,6,5,1,0,0,3,3,0,0
3,13,1,6,1,1,1,60.0,0,2,1,0,0,26,400,3,2,2,6,7,0,0,0,3,3,0,2
3,6,1,5,4,1,1,21.0,0,1,0,1,0,27,400,3,2,2,3,3,0,0,0,2,3,0,1
3,0,1,1,4,1,1,42.0,0,0,0,1,0,28,400,3,2,1,5,5,0,0,0,0,3,0,0
1,6,1,6,4,1,2,16.5,0,0,0,5,1,29,400,3,2,3,7,0,0,0,0,3,3,0,0
3,9,1,7,4,0,1,39.0,0,1,0,0,0,30,400,3,2,3,5,5,0,0,0,3,3,0,1
2,3,1,3,2,1,1,47.0,0,1,0,1,0,31,400,3,2,1,6,6,0,0,1,3,3,0,1
1,6,1,6,2,1,2,16.5,0,1,0,5,0,32,400,3,2,0,7,0,0,0,0,3,3,0,1
2,2,1,7,2,1,2,42.0,0,1,0,0,0,33,400,3,2,2,5,5,0,0,0,1,3,0,1
4,6,1,6,4,1,2,30.0,1,1,0,0,0,34,400,3,2,3,4,4,0,0,0,0,3,0,1
4,5,1,7,4,1,1,42.0,0,6,2,5,0,35,400,3,2,1,5,5,0,0,0,3,3,0,0
2,2,1,5,2,1,2,34.0,1,2,1,0,0,36,400,3,2,1,5,4,0,0,0,2,3,0,2
2,6,1,5,3,1,1,30.0,1,1,0,0,0,37,400,3,2,3,4,4,0,0,0,2,3,0,1
2,9,1,1,3,1,2,27.0,0,1,0,1,0,38,400,3,2,3,5,4,0,0,0,2,3,0,1
4,6,1,5,4,1,1,55.0,0,4,1,5,0,39,400,3,2,3,6,6,0,0,0,3,3,0,1
4,17,1,6,1,1,1,35.0,0,1,0,0,0,40,400,3,2,3,5,4,0,0,0,0,3,0,1
4,2,1,7,1,0,1,35.0,0,1,0,0,0,41,400,3,2,1,4,4,0,0,0,2,3,0,1
3,13,1,7,4,1,1,44.0,0,0,0,0,0,42,400,3,2,1,5,5,0,0,0,1,3,2,0
1,17,1,2,1,0,2,42.0,0,2,1,0,0,43,400,3,2,3,2,5,0,0,0,3,2,1,2
3,6,1,2,4,1,1,41.0,0,1,0,0,0,44,400,3,2,1,5,5,0,0,0,0,3,0,1
3,17,1,7,4,1,1,72.0,1,1,0,0,0,45,400,3,2,3,6,8,0,0,0,3,3,0,1
2,13,1,5,2,0,1,29.0,1,0,0,4,0,46,400,3,2,1,3,4,0,0,0,3,3,0,0
2,13,1,2,3,1,2,32.0,1,1,0,1,0,47,400,3,2,3,4,4,0,0,1,3,3,0,1
4,9,1,1,4,1,1,37.0,0,2,1,1,0,48,400,3,2,1,3,5,0,0,0,2,3,0,2
3,2,1,5,1,0,1,37.0,0,2,1,5,0,49,400,3,2,1,4,5,0,0,0,1,3,0,2
3,13,1,6,3,1,1,59.0,0,1,0,0,0,50,400,3,2,2,6,7,0,0,0,1,3,0,1
4,13,1,1,4,1,1,49.0,0,2,1,1,0,51,400,3,2,2,6,6,0,0,0,3,3,0,2
4,13,1,1,4,1,1,27.0,0,2,1,0,0,52,500,3,2,1,4,4,0,0,0,1,1,0,2
3,6,0,7,4,1,1,21.0,0,4,1,5,1,53,400,3,2,3,2,3,0,0,0,1,3,0,1
4,6,1,7,2,1,1,50.0,0,1,0,0,1,54,400,3,2,3,6,6,0,0,0,1,3,0,1
4,13,1,6,4,1,2,45.0,0,1,0,1,0,55,400,3,2,0,5,5,0,0,0,0,3,0,1
3,9,1,7,3,1,1,49.0,1,0,0,0,0,56,400,3,2,3,6,6,0,0,0,1,3,0,0
4,6,1,5,5,1,2,30.0,0,0,0,0,0,57,400,3,2,1,4,4,0,0,0,3,3,0,0
2,0,1,2,2,1,2,37.0,0,1,0,5,0,58,400,3,2,1,5,5,0,0,0,3,3,0,1
1,6,0,7,4,1,2,16.5,0,2,1,5,0,59,400,3,2,3,7,0,0,0,0,3,3,0,2
1,2,1,2,2,0,2,27.0,0,1,0,0,0,60,400,3,2,3,4,4,0,0,0,0,3,0,1
1,17,1,2,3,1,2,30.0,0,0,0,1,0,61,400,3,2,3,3,4,0,0,0,3,3,0,0
2,13,1,1,4,1,1,49.0,0,7,2,2,0,62,400,3,2,3,6,6,0,0,0,3,3,0,1
4,6,1,1,3,1,2,16.5,1,0,0,5,0,63,400,3,2,1,7,0,0,0,0,3,3,0,0
5,17,1,6,1,1,1,26.0,0,2,1,0,0,64,400,3,2,1,5,4,0,0,0,2,2,1,2
1,13,1,6,2,1,2,48.0,0,1,0,0,0,65,400,3,2,3,5,6,0,0,0,3,3,0,1
4,9,1,2,2,1,2,31.0,0,0,0,0,0,66,400,3,2,3,5,4,0,0,0,3,3,0,0
3,11,1,1,3,1,2,40.0,1,1,0,5,0,67,400,3,2,0,5,5,0,0,0,2,3,0,1
4,9,1,2,5,1,1,65.0,0,2,1,1,0,68,400,3,2,1,6,7,0,0,0,2,3,0,2
1,17,1,6,1,1,1,64.0,0,1,0,0,0,69,400,3,2,0,6,7,0,0,0,3,3,0,1
1,6,1,7,1,1,1,55.0,0,2,1,0,0,70,400,3,2,1,5,6,0,0,0,2,3,0,2
1,6,1,7,1,1,2,44.0,0,1,0,0,0,71,400,3,2,1,5,5,0,0,0,1,3,0,1
1,9,1,5,1,1,1,27.0,0,1,0,0,0,72,400,3,2,0,4,4,0,0,0,0,3,0,1
4,2,1,2,5,0,2,28.0,1,1,0,0,0,73,400,1,2,0,3,4,0,0,0,3,3,0,1
1,6,1,6,1,1,1,47.0,1,1,0,0,0,74,400,3,2,0,6,6,0,0,0,2,3,0,1
5,9,1,6,1,1,1,60.0,1,1,0,5,0,75,400,3,2,2,5,7,0,0,0,2,3,0,1
1,5,1,7,4,1,1,33.0,1,1,0,1,0,76,400,3,2,2,4,4,0,0,0,3,3,0,1
4,2,1,2,1,1,1,27.0,1,0,0,0,0,77,400,3,2,3,4,4,0,0,0,3,3,0,0
2,6,1,6,3,0,1,47.0,1,4,1,5,0,78,400,3,2,3,6,6,0,0,0,3,3,0,1
2,7,0,6,3,0,2,29.0,0,2,1,1,0,79,400,3,2,1,3,4,0,0,0,1,3,0,2
4,17,1,1,1,0,1,33.0,1,1,0,1,0,80,400,3,2,1,5,4,0,0,0,2,3,0,1
3,13,1,7,3,1,1,38.0,0,2,1,0,0,81,400,3,2,1,4,5,0,0,0,3,3,0,2
3,9,1,1,4,1,2,37.0,1,2,1,0,0,82,400,3,2,0,5,5,0,0,0,3,3,0,2
2,2,1,5,3,1,1,36.0,1,0,0,5,0,83,400,3,2,3,5,5,0,0,0,3,3,2,0
5,17,1,1,1,0,1,44.0,0,2,1,0,0,84,400,3,2,3,4,5,0,0,0,0,3,0,2
1,6,1,2,1,1,2,16.5,0,2,1,5,0,85,400,3,2,2,7,0,0,0,0,3,2,1,2
2,2,0,6,1,1,1,27.0,0,8,2,5,0,86,400,3,2,0,4,4,0,0,0,2,3,0,2
4,17,1,7,4,1,2,27.0,0,1,0,0,0,87,400,3,2,0,4,4,0,0,0,2,3,0,1
4,9,1,7,4,1,2,39.0,1,0,0,0,0,88,400,3,2,1,2,5,0,0,0,2,3,0,0
5,13,1,2,5,1,1,74.0,1,0,0,1,0,89,400,3,2,3,5,8,0,0,0,1,3,0,0
4,6,1,2,4,1,2,23.0,0,2,1,0,0,90,400,3,2,1,2,3,0,0,0,3,3,0,2
4,6,1,6,4,0,2,25.0,1,4,1,5,0,91,400,3,2,3,4,3,0,0,0,2,3,0,1
2,13,1,7,2,1,2,38.0,0,2,1,0,0,92,400,3,2,2,5,5,0,0,0,1,0,0,2
2,6,1,2,4,1,1,41.0,0,0,0,1,0,93,400,3,2,1,5,5,0,0,0,3,3,0,0
4,13,1,2,5,1,1,38.0,0,1,0,0,0,94,700,3,2,1,5,5,0,0,0,2,3,0,1
2,6,1,1,3,1,2,34.0,0,4,1,5,1,95,400,3,2,3,5,4,0,0,0,1,3,0,1
2,6,1,5,2,1,1,61.0,1,1,0,1,0,96,400,3,2,3,6,7,0,0,0,2,3,0,1
2,17,1,6,1,1,1,38.0,0,1,0,0,1,97,400,3,2,0,5,5,0,0,0,3,3,0,1
3,17,1,2,4,1,2,40.0,0,0,0,4,0,98,400,3,2,0,5,5,0,0,0,3,3,0,0
3,13,1,7,4,1,1,41.0,1,0,0,0,0,99,400,3,2,1,5,5,0,0,0,3,3,0,0
4,13,1,2,5,1,1,36.0,0,0,0,0,0,100,400,3,2,0,5,5,0,0,0,3,3,0,0
3,2,1,7,2,1,1,31.0,0,6,2,5,1,101,400,3,2,2,5,4,0,0,0,2,3,0,0
5,13,1,2,5,0,1,35.0,1,0,0,0,0,102,400,3,2,0,4,4,0,0,0,3,3,0,0
4,5,1,2,1,0,1,37.0,0,0,0,5,0,103,500,3,2,1,4,5,1,0,0,1,3,0,0
1,9,1,6,2,1,1,55.0,0,0,0,0,0,104,400,3,2,3,6,6,0,0,0,2,3,0,0
1,13,1,5,1,1,2,31.0,1,0,0,0,0,105,400,3,2,1,5,4,0,0,0,0,3,0,0
3,3,1,3,3,1,1,28.0,0,2,1,5,0,106,400,3,2,3,5,4,0,0,0,0,2,1,2
1,9,1,5,1,1,1,28.0,0,1,0,0,0,107,400,3,2,1,5,4,0,0,0,3,3,0,1
4,13,1,5,2,1,1,44.0,1,0,0,0,0,108,400,3,2,3,5,5,0,0,0,3,3,0,0
1,2,1,5,4,1,1,47.0,0,0,0,0,0,109,400,3,2,0,6,6,0,0,0,3,3,0,0
1,6,1,1,1,1,1,40.0,0,2,1,0,0,110,400,3,2,3,4,5,0,0,0,3,3,0,2
2,17,1,1,1,1,2,23.0,0,1,0,0,0,111,400,3,2,1,3,3,0,0,0,3,3,0,1
2,13,1,5,2,1,2,31.0,0,0,0,0,0,112,400,3,2,1,4,4,0,0,0,3,3,0,0
4,6,1,5,5,1,1,35.0,1,0,0,0,0,113,400,3,2,3,4,4,0,0,0,3,3,0,0
4,0,0,6,2,1,1,56.0,0,6,2,5,1,114,400,3,2,3,6,7,0,0,0,3,3,0,0
4,2,1,7,1,1,1,50.0,1,1,0,0,0,115,400,3,2,0,6,6,0,0,0,2,3,0,1
2,6,1,7,2,1,2,16.0,1,4,1,5,0,116,400,3,2,1,2,1,0,0,0,1,3,0,1
5,13,1,6,5,1,1,32.0,1,1,0,1,0,117,400,3,2,0,5,4,0,1,0,2,3,0,1
2,13,1,6,5,1,2,28.0,0,2,1,0,0,118,400,3,2,1,4,4,0,0,0,1,3,0,2
5,9,1,7,1,1,2,68.0,0,0,0,0,1,119,400,3,2,1,3,8,0,0,0,3,3,0,0
1,6,0,1,3,1,2,16.5,0,0,0,5,1,120,400,3,2,3,7,0,0,0,0,3,3,0,0
1,6,0,1,3,1,2,16.5,0,0,0,5,0,121,400,3,2,3,7,0,0,0,0,3,3,0,0
2,6,0,2,3,0,1,18.0,1,4,1,5,0,122,400,3,2,3,0,2,0,0,0,0,3,0,1
3,13,1,2,3,1,2,30.0,0,1,0,5,0,123,400,3,2,2,4,4,0,0,0,0,3,0,1
4,6,1,6,4,1,1,51.0,0,1,0,0,0,124,400,3,2,2,6,6,0,0,0,3,3,2,1
2,17,1,2,2,1,2,22.0,1,0,0,1,0,125,400,3,2,3,4,3,0,0,0,1,3,0,0
2,13,1,2,2,0,1,26.0,0,2,1,0,0,126,400,3,2,1,5,4,0,0,0,2,3,0,2
4,3,1,2,1,1,1,53.0,0,1,0,1,0,127,400,3,2,3,6,6,1,0,0,3,2,1,1
4,9,1,6,5,1,1,38.0,0,2,1,1,0,128,400,3,2,1,5,5,0,0,0,2,3,0,2
4,2,0,2,4,1,1,27.0,1,2,1,1,0,129,400,3,2,2,4,4,0,1,0,3,3,0,2
